household_id,region,urban_rural,household_size,monthly_food_expenditure_tzs,monthly_nonfood_expenditure_tzs,total_consumption_tzs,poverty_line_tzs,below_poverty_line
HH-0001,Mwanza,Urban,5,260000,152000,412000,49320,No
HH-0002,Iringa,Rural,4,89500,49000,138500,33748,No
HH-0003,Kigoma,Rural,6,18200,9700,27900,33748,Yes
HH-0004,Tanga,Urban,4,185000,111200,296200,49320,No
HH-0005,Dodoma,Rural,5,22100,10800,32900,33748,Yes
HH-0006,Arusha,Urban,3,142000,98500,240500,49320,No
HH-0007,Lindi,Rural,7,20500,9200,29700,33748,Yes
HH-0008,Kilimanjaro,Urban,4,168000,102300,270300,49320,No
HH-0009,Singida,Rural,5,25400,12100,37500,33748,No
HH-0010,Mtwara,Rural,6,17800,8600,26400,33748,Yes
